Distance_km,Vehicle_Type,Passengers,Nominal_L_per_100km,Duration_min,Fuel_Consumed_L
13.8,Sedan,1,4.71,25.23,0.76
16.39,Bus,22,14.62,33.42,3.57
28.71,Van,9,11.7,57.49,3.94
23.66,SUV,6,7.24,26.61,1.71
33.78,Sedan,4,7.84,60.05,3.39
37.33,Sedan,4,6.41,52.52,3.02
18.44,Sedan,4,6.6,29.09,1.43
21.33,Bus,41,17.16,59.52,6.27
65.83,SUV,2,10.16,118.28,7.3
24.52,Van,7,12.41,49.88,3.41
4.17,Sedan,3,6.9,6.78,0.29
22.09,Bus,38,19.69,52.33,5.97
8.16,Van,10,10.62,22.23,1.05
19.05,Sedan,2,7.15,41.17,1.62
69.49,Sedan,2,6.09,125.21,4.31
15.36,Sedan,2,6.5,32.33,0.79
37.97,Sedan,3,6.17,62.47,3.02
21.92,SUV,6,8.31,44.8,2.04
51.77,SUV,5,7.97,60.7,5.36
31.03,Sedan,4,7.06,48.18,2.49
41.04,SUV,7,10.97,82.38,4.59
27.5,Sedan,2,7.91,28.65,2.24
15.21,Sedan,1,4.99,18.65,0.87
48.14,Sedan,3,8.05,66.04,4.5
25.55,SUV,4,8.52,50.02,2.16
15.92,Van,1,12.08,34.89,1.95
12.94,Sedan,2,5.41,33.96,0.65
26.14,SUV,5,9.21,47.05,2.93
43.17,SUV,5,9.47,70.02,4.1
29.02,Sedan,3,4.72,54.67,1.5
16.79,SUV,5,9.91,30.4,2.04
28.32,Sedan,1,8.12,46.13,2.37
35.65,Sedan,4,6.29,46.64,2.12
5.99,Bus,39,22.08,14.73,1.76
8.23,Bus,9,17.43,14.42,1.62
33.6,Van,2,12.53,53.25,4.04
7.96,Sedan,3,4.0,18.25,0.28
19.02,Sedan,4,9.4,37.12,2.05
23.41,Van,6,13.69,35.29,3.0
10.33,SUV,1,8.57,24.0,0.96
19.55,Sedan,1,4.13,33.38,1.0
23.64,SUV,2,9.43,49.7,2.3
44.36,Sedan,4,4.77,85.69,2.65
41.56,Bus,6,19.33,105.06,7.54
26.06,Sedan,1,6.99,30.67,1.51
14.17,Van,11,9.31,30.41,1.78
42.1,Sedan,4,7.85,77.17,3.69
